20230306	23:44:48	1c8f8c59-51e4-4574-a42d-3ce886a95977	GET	undefined	/refresh
20230306	23:44:52	95f94863-818b-40ee-b9cb-54a9dd140fd0	GET	undefined	/refresh
20230307	00:04:59	b64b89e2-0962-4041-aebe-d8936a4b87c0	POST	undefined	/auth
20230307	00:05:37	b0075fef-50bd-47fa-84eb-7ccc381c4b2f	GET	undefined	/logout
20230307	00:05:59	0cbc68aa-e4e9-48dc-a224-813d80edb12a	GET	undefined	/refresh
20230307	00:08:05	6b03cdb0-2411-4472-aac2-59ac93a3bddb	GET	undefined	/refresh
20230307	00:09:00	c2efd82c-9a2f-4799-b5bc-81479eae8ac3	POST	undefined	/auth
20230307	01:10:12	696ccfe0-de98-4b95-ac50-1df425093cdd	POST	undefined	/auth
20230307	01:10:32	9715c7b0-5aec-4c05-8eac-c86d93cc63c0	GET	undefined	/employees
20230307	01:11:25	80c5959d-8d4d-415c-b923-03c0a9833e13	GET	undefined	/employees
20230307	01:11:30	b2ed6542-6273-4411-9857-43af7f527768	POST	undefined	/auth
20230307	01:11:36	0133ba35-baf1-415c-9dde-eed08e13e23c	GET	undefined	/employees
20230307	01:11:57	736907b4-dc6e-47c6-98ea-cd31c7d36918	GET	undefined	/employees
20230307	01:11:58	22487803-e3d8-4985-a665-1416018179fc	GET	undefined	/employees
20230307	01:11:59	c7009d67-90fc-4886-9d0c-d4624462e22f	GET	undefined	/employees
20230307	01:11:59	f24236d3-2a26-420e-a301-5e58bdc77b9e	GET	undefined	/employees
20230307	01:12:00	dc130a8a-fcd8-4f52-b249-f98214b6d29d	GET	undefined	/employees
20230307	01:12:11	4b04229c-a550-479c-b8fd-c991ade0df75	POST	undefined	/auth
20230307	01:12:17	12ef0bd5-3f2d-46ce-ad68-bddb8bbec6f4	GET	undefined	/employees
20230307	01:12:35	68821094-7651-4a0c-b6e1-c078ae89426d	POST	undefined	/employees
20230307	01:15:25	b76dc888-8e86-49f2-ae4e-8ff8d6470eeb	POST	undefined	/auth
20230307	01:15:41	590197c3-99b6-4cdd-b769-92aec0f7f9c2	POST	undefined	/employees
20230307	01:15:56	5cc78084-473a-45b3-a45f-dfb6f3bce116	DELETE	undefined	/employees
20230307	01:16:01	c9510c59-50b9-43fa-91a2-fd07f5cf334e	POST	undefined	/auth
20230307	01:16:10	72ef7061-0247-40c1-94e4-a1d0c6885afe	DELETE	undefined	/employees
20230307	01:16:54	e281f072-5db4-49f8-9d59-5cf521ede65d	POST	undefined	/auth
20230307	01:17:07	f4ebf9e8-133a-41fd-b824-657eb5b6ca87	DELETE	undefined	/employees
20230307	01:17:26	05ca0f45-8fbe-490e-99a0-18d7fe7a0f17	POST	undefined	/auth
20230307	01:17:41	52f29948-d0a4-47f4-85fe-7cdcd809ca14	POST	undefined	/employees
20230307	01:17:45	dde8925e-394a-4c36-ad14-98457f7fb967	DELETE	undefined	/employees
20230309	00:48:48	bf1720b9-e24d-43f0-9f9f-598ec19448b7	POST	undefined	/register
20230309	00:49:41	b53db423-db0f-4a50-b256-1cefffde13a8	POST	undefined	/register
20230309	01:09:27	7c873ae3-983d-4360-a184-fe95efcc94c5	POST	undefined	/register
20230309	01:09:41	c36c5408-f7f1-46a6-ac60-8b767c540076	POST	undefined	/register
20230309	01:10:06	08b05799-55da-4e78-ac91-46808f6326dc	POST	undefined	/auth
20230309	01:11:12	e167df7e-1ab8-4497-97b8-75c2cba2afba	GET	undefined	/refresh
20230309	01:12:21	19f23fbd-0d67-454b-a0ad-f5586f446534	POST	undefined	/auth
20230309	01:12:28	d3c4877c-cf9d-4e5e-8c3f-ab964c23c861	GET	undefined	/refresh
20230309	01:13:01	cfdac9d6-06d4-490b-846b-cff43ffe1e48	POST	undefined	/auth
20230309	01:13:15	3b9a152a-e952-4c01-bb61-08a645c04c97	GET	undefined	/logout
